#,Name,MLBAMID,RazzballID,FangraphsID,Team,ESPN_POS,YAHOO_POS
431,Anthony Rizzo,519203,3473,3473,NYY,1B,1B
432,Anthony Santander,623993,623993,14551,BAL,OF,OF
433,Anthony Seigler,678011,678011,sa3006894,NYY,C,C
434,Anthony Shew,670651,670651,sa921212,STL,SP,SP
435,Anthony Solometo,696143,696143,,PIT,P,P
436,Anthony Swarzak,461872,7466,7466,FA,RP,RP
437,Anthony Tolbert,663932,663932,sa876146,FA,2B,2B
438,Anthony Valenzuela,679515,679515,sa3006581,FA,OF,OF
439,Anthony Veneziano,685107,685107,sa1115745,KC,SP,SP
440,Anthony Vizcaya,622415,622415,sa657689,NYM,RP,RP
441,Anthony Volpe,683011,683011,sa3010868,NYY,SS,SS
442,Antoine Duplantis,663858,663858,sa3011224,NYM,OF,OF
443,Antoine Kelly,681520,681520,sa3011135,MIL,SP,SP
444,Antoni Flores,677602,677602,sa3005489,BOS,SS,SS
445,Antonio Cabello,679737,679737,sa3005600,TEX,OF,OF
446,Antonio Gomez,682625,682625,sa3008746,NYY,C,C
447,Antonio Jimenez,682607,682607,sa3008074,TB,SP,SP
448,Antonio Nunez,657701,657701,,HOU,SS,SS
449,Antonio Pinero,665836,665836,sa917079,MIL,SS,SS
450,Antonio Santos,665733,665733,20383,NYM,RP,RP
451,Antonio Senzatela,622608,15488,15488,COL,SP,SP
452,Antonio Velez,669163,669163,sa3014850,BAL,SP,SP
453,Anyelo Encarnacion,699031,699031,sa3016157,STL,2B,2B
454,Anyelo Reyes,686310,686310,sa3010882,BAL,2B,2B
455,Anyesber Sivira,672716,672716,sa3003301,SF,SS,SS
456,Aramis Garcia,605244,16925,16925,CIN,C,C
457,Arbert Cipion,681832,681832,sa3008006,MIL,OF,OF
458,Archie Bradley,605151,12918,12918,LAA,RP,RP
459,Arden Pabst,641938,641938,sa858812,ATL,C,C
460,Argenis Angulo,656196,656196,sa829470,MIN,RP,RP
461,Ariel Almonte,694200,694200,sa3015708,CIN,OF,OF
462,Ariel Jurado,642558,642558,17030,FA,SP,SP
463,Ariel Sandoval,628366,628366,sa736970,FA,OF,OF
464,Arison Jimenez,692419,692419,sa3015625,TB,OF,OF
465,Aristides Aquino,606157,606157,15482,CIN,OF,OF
466,Armando Alvarez,669137,669137,sa913279,NYY,3b,3b
467,Armando Cruz,694182,694182,sa3015695,WSH,SS,SS
468,Armando Sierra,699152,699152,sa3015805,BOS,OF,OF
469,Armani Smith,669702,669702,sa918911,SF,OF,OF
470,Armond Upshaw,657066,657066,sa918220,WSH,OF,OF
471,Arnaldo Hernandez,642511,642511,sa828154,MIL,SP,SP
472,Arodys Vizcaino,527055,5498,5498,KC,RP,RP
473,Arol Vera,691186,691186,sa3014687,LAA,SS,SS
474,Aroldis Chapman,547973,10233,10233,NYY,RP,RP
475,Arquimedes Cumana,672720,672720,sa3008576,MIA,1B,1B
476,Arquimedes Gamboa,660614,660614,sa877497,SF,SS,SS
477,Art Warren,605521,605521,18251,CIN,RP,RP
478,Artie Lewicki,592499,592499,16731,FA,RP,RP
479,Arturo De Freitas,679972,679972,sa3005939,PHI,C,C
480,Arturo Guerrero,679552,679552,sa3005936,SEA,OF,OF
481,Arturo Reyes,642007,642007,sa739006,FA,SP,SP
482,Asa Lacy,669370,669370,sa3014423,KC,SP,SP
483,Asdrubal Cabrera,452678,4962,4962,CIN,3B,1B/3B
484,Asher Wojciechowski,592879,10836,10836,FA,SP,SP
485,Ashton Creal,689328,689328,sa3010048,CIN,OF,OF
486,Ashton Goudeau,623485,623485,15139,COL,RP,RP
487,Ashton McGee,671082,671082,sa3010334,MIL,1B,1B
488,Audry Perez,542233,542233,,BAL,C,C
489,Austen Wade,667398,667398,sa3004930,FA,OF,OF
490,Austen Williams,657117,657117,16309,COL,RP,RP
491,Austin Adams,542866,7411,7411,FA,RP,RP
492,Austin Adams,613534,613534,13801,SD,RP,RP
493,Austin Allen,664119,664119,18083,OAK,C,C
494,Austin Barnes,605131,12158,12158,LAD,C,C
495,Austin Beck,675648,675648,sa3004055,OAK,OF,OF
